Unnamed: 0,Country,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population 2023,GDP per capita,Share of World GDP,iso_alpha3
0,United States,"$27,720,700,000,000",27.721 trillion,2.89%,343477335,"$80,706",26.11%,USA
1,China,"$17,794,800,000,000",17.795 trillion,5.25%,1422584933,"$12,509",16.76%,CHN
2,Germany,"$4,525,700,000,000",4.526 trillion,−0.27%,84548231,"$53,528",4.26%,DEU
3,Japan,"$4,204,490,000,000",4.204 trillion,1.68%,124370947,"$33,806",3.96%,JPN
4,India,"$3,567,550,000,000",3.568 trillion,8.15%,1438069596,"$2,481",3.36%,IND
5,United Kingdom,"$3,380,850,000,000",3.381 trillion,0.34%,68682962,"$49,224",3.18%,GBR
6,France,"$3,051,830,000,000",3.052 trillion,0.94%,66438822,"$45,934",2.87%,FRA
7,Italy,"$2,300,940,000,000",2.301 trillion,0.7%,59499453,"$38,672",2.17%,ITA
8,Brazil,"$2,173,670,000,000",2.174 trillion,2.91%,211140729,"$10,295",2.05%,BRA
9,Canada,"$2,142,470,000,000",2.142 trillion,1.25%,39299105,"$54,517",2.02%,CAN
10,Russia,"$2,021,420,000,000",2.021 trillion,3.6%,145440500,"$13,899",1.90%,RUS
11,Mexico,"$1,789,110,000,000",1.789 trillion,3.2%,129739759,"$13,790",1.69%,MEX
12,Australia,"$1,728,060,000,000",1.728 trillion,3.44%,26451124,"$65,330",1.63%,AUS
13,South Korea,"$1,712,790,000,000",1.713 trillion,1.36%,51748739,"$33,098",1.61%,KOR
14,Spain,"$1,620,090,000,000",1.62 trillion,2.68%,47911579,"$33,814",1.53%,ESP
15,Indonesia,"$1,371,170,000,000",1.371 trillion,5.05%,281190067,"$4,876",1.29%,IDN
16,Netherlands,"$1,154,360,000,000",1.154 trillion,0.07%,18092524,"$63,803",1.09%,NLD
17,Turkey,"$1,118,250,000,000",1.118 trillion,5.11%,87270501,"$12,814",1.05%,TUR
18,Saudi Arabia,"$1,067,580,000,000",1.068 trillion,−0.76%,33264292,"$32,094",1.01%,SAU
19,Switzerland,"$884,940,000,000",884.94 billion,0.72%,8870561,"$99,761",0.83%,CHE
20,Poland,"$809,201,000,000",809.201 billion,0.14%,38762844,"$20,876",0.76%,POL
21,Argentina,"$646,075,000,000",646.075 billion,−1.61%,45538401,"$14,187",0.61%,ARG
22,Belgium,"$644,783,000,000",644.783 billion,1.25%,11712893,"$55,049",0.61%,BEL
23,Sweden,"$584,960,000,000",584.96 billion,−0.31%,10551494,"$55,439",0.55%,SWE
24,Ireland,"$551,395,000,000",551.395 billion,−5.53%,5196630,"$106,106",0.52%,IRL
25,Thailand,"$514,969,000,000",514.969 billion,1.89%,71702435,"$7,182",0.49%,THA
26,United Arab Emirates,"$514,130,000,000",514.13 billion,3.62%,10642081,"$48,311",0.48%,ARE
27,Israel,"$513,611,000,000",513.611 billion,2.42%,9256314,"$55,488",0.48%,ISR
28,Austria,"$511,685,000,000",511.685 billion,−0.95%,9130429,"$56,042",0.48%,AUT
29,Singapore,"$501,428,000,000",501.428 billion,1.07%,5789090,"$86,616",0.47%,SGP
30,Norway,"$485,311,000,000",485.311 billion,0.48%,5519167,"$87,932",0.46%,NOR
31,Bangladesh,"$437,415,000,000",437.415 billion,5.78%,171466990,"$2,551",0.41%,BGD
32,Philippines,"$437,146,000,000",437.146 billion,5.55%,114891199,"$3,805",0.41%,PHL
33,Vietnam,"$429,717,000,000",429.717 billion,5.05%,100352192,"$4,282",0.40%,VNM
34,Denmark,"$407,092,000,000",407.092 billion,2.5%,5948136,"$68,440",0.38%,DNK
35,Iran,"$404,626,000,000",404.626 billion,5.04%,90608707,"$4,466",0.38%,IRN
36,Malaysia,"$399,705,000,000",399.705 billion,3.56%,35126298,"$11,379",0.38%,MYS
37,Egypt,"$396,002,000,000",396.002 billion,3.76%,114535772,"$3,457",0.37%,EGY
38,Hong Kong,"$380,812,000,000",380.812 billion,3.28%,7442734,"$51,166",0.36%,HKG
39,South Africa,"$380,699,000,000",380.699 billion,0.7%,63212384,"$6,023",0.36%,ZAF
40,Nigeria,"$363,846,000,000",363.846 billion,2.86%,227882945,"$1,597",0.34%,NGA
41,Colombia,"$363,494,000,000",363.494 billion,0.61%,52321152,"$6,947",0.34%,COL
42,Romania,"$350,776,000,000",350.776 billion,2.4%,19118479,"$18,347",0.33%,ROU
43,Czech Republic (Czechia),"$343,208,000,000",343.208 billion,−0.09%,10809716,"$31,750",0.32%,CZE
44,Pakistan,"$337,912,000,000",337.912 billion,−0.04%,247504495,"$1,365",0.32%,PAK
45,Chile,"$335,533,000,000",335.533 billion,0.22%,19658835,"$17,068",0.32%,CHL
46,Finland,"$295,532,000,000",295.532 billion,−1.16%,5601185,"$52,762",0.28%,FIN
47,Portugal,"$289,114,000,000",289.114 billion,2.53%,10430738,"$27,718",0.27%,PRT
48,Peru,"$267,603,000,000",267.603 billion,−0.55%,33845617,"$7,907",0.25%,PER
49,Kazakhstan,"$262,642,000,000",262.642 billion,5.1%,20330104,"$12,919",0.25%,KAZ
50,New Zealand,"$252,176,000,000",252.176 billion,0.73%,5172836,"$48,750",0.24%,NZL
51,Iraq,"$250,843,000,000",250.843 billion,−2.94%,45074049,"$5,565",0.24%,IRQ
52,Algeria,"$247,626,000,000",247.626 billion,4.1%,46164219,"$5,364",0.23%,DZA
53,Greece,"$243,498,000,000",243.498 billion,2.33%,10242908,"$23,772",0.23%,GRC
54,Qatar,"$213,003,000,000",213.003 billion,1.19%,2979082,"$71,500",0.20%,QAT
55,Hungary,"$212,389,000,000",212.389 billion,−0.91%,9686463,"$21,926",0.20%,HUN
56,Ukraine,"$178,757,000,000",178.757 billion,5.32%,37732836,"$4,737",0.17%,UKR
